"id_rubrique";"id_parent";"titre";"descriptif";"texte";"id_secteur";"maj";"statut";"date";"lang";"langue_choisie";"extra";"statut_tmp";"date_tmp";"profondeur"
"11";"2";"Comité Oscar Romero";;"El Comité Oscar Romero somos un grupo de mujeres y hombres cristianos, preocupados no sólo por reflexionar y ahondar en la fe, sino también por vivirla a través del compromiso y la solidaridad. También participan en el comité personas que, sin tener una opción cristiana, comparten la misma preocupación por la solidaridad.

No reconocemos fronteras ni límites a la solidaridad, pero dado que hemos nacido en contacto con la experiencia de la Iglesia Latinoamericana y del pueblo empobrecido de aquel continente, nuestra acción solidaria la centramos fundamentalmente en América Latina. Nos preocupa la situación de pobreza y marginación que afecta a un porcentaje elevado de la población del Tercer Mundo en general, y en concreto a la de América Latina, y trabajamos por remediarlo. Para nosotros la opción por los pobres, que es la misma opción de Dios, forma parte de la espiritualidad cristiana, que entendemos como <it>espiritualidad de la liberación</it>. Esta supone partir de una análisis de la realidad de exclusión y marginación de los pobres y denunciar esta situación como contraria al proyecto de Dios.

Nuestras principales actividades son:
-Ofrecer información alternativa sobre América Latina, supliendo la falta de información o corrigiendo la información parcial y tergiversada que a veces llega.

-Recoger ayudas para proyectos concretos de promoción humana, social o económica.

-Realizar campañas especializadas de denuncias, de apoyo a personas amenazadas a causa de su opción por los pobres, de ayuda ante situaciones puntuales, etc.

-Organizar cada año la celebración del martirio de Monseñor Romero, el 24 de marzo.
";"2";"2013-03-04 13:32:03";"publie";"2006-05-08 13:32:02";"es";"non";;"publie";"2006-05-08 13:32:02";"1"
"12";"2";"Grupo Ecologista Salicor";;"Este grupo inició su andadura partiendo de una premisa fundamental y lógica, basada en los acontecimientos y hechos que hasta el momento van ocurriendo.

Descubrimos que es necesario un cambio del hombre en las practicas formas y hábitos que se van dando diariamente. Es necesario primero pararse a pensar, ver y analizar ante tantos acontecimientos negativos que van ocurriendo, y siempre en todo caso perjudiciales para el hombre, siendo este el causante de estos mismos problemas... tan paradójico como cierto.

-Cuando vemos que han desaparecido ríos, humedales y masas forestales fruto de desequilibrios hídricos incoherentes...
-Cuando vemos que las aguas residuales siguen sin tratarse o mal depuradas, contaminando  y destruyendo su propio destino...
-Cuando vemos que hay pueblos que han cambiado su imagen sepultando a veces hasta sus raíces  mas profundas...
-Cuando vemos que el 20% de la humanidad consume el 90% de los recursos del planeta y que ese 20% es el causante del 95% de la contaminación del mismo...

¡Algo debe de cambiar! No debe de valer todo en nombre del progreso. Hay que trabajar para que ese equilibrio tan lógico y esperado como utópico nos lleve lo antes posible a un no menos anhelado como manído desarrollo sostenible.
Apostamos por el foro social convencidos y esperanzados de que OTRO MUNDO ES POSIBLE.
";"2";"2017-10-03 17:37:15";"publie";"2017-10-03 17:37:15";"es";"non";;"publie";"2013-02-08 14:32:26";"1"
"13";"2";"Grupo Scout Quimera";;"Scouts de Castilla la Mancha se define como una organización prestadora de servicios a la infancia y a la juventud, coeducativa, plural y libre basada en el Método Scout, orientada por voluntarios pertenecientes a la misma, cuya finalidad es formar personas integras y autosuficientes.

El Grupo Scout Quimera pertenece a esta asociación desde el año 1996 en el que se fundó. Esta asociación pertenece a ASDE (Asociaciones de Scouts de España),a la cual pertenecen todas las asociaciones de scouts de España.

El grupo nace con la ilusión de ayudar en la educación de los más pequeños de nuestro pueblo. Desde este año contribuimos porque los niños desde 6 hasta 21 años adquieran una educación en valores a través de diversas actividades:
Las reuniones de los sábados, donde podemos estar con ellos durante dos horas sirven para preparar diversas actividades y juegos. En ellas se trabajan hábitos de higiene, educación en valores, educación vial, educación por el medio ambiente, compromiso social...
Las salidas: una vez al trimestre cada grupo de niños sale fuera del pueblo a pasar un fin de semana lleno de aventuras y de ilusión. Estos son aprovechados para mejorar y aumentar los juegos y la ilusión de cada reunión.
Campamento de verano: durante nueve días desde el año 97 realizamos un campamentos de verano donde en plena naturaleza podemos disfrutar de todas nuestras actividades (talleres, juegos, dinámicas, rutas...)

Nuestras actividades se basan en el método scout:
Ley Scout, como código de conducta formulado en positivo, de libre adhesión y Promesa Scout, o compromiso libre y público de adhesión al código de conducta propio de los Scouts y que sirve como herramienta educativa.
La educación por la acción aplicando la llamada ``Pedagogía del Proyecto'' en todas las ramas o grupos de edad. La vida en pequeños grupos, fomentado el trabajo en equipo y la autogestión de niños y jóvenes a través de responsabilidades adaptadas a su edad.
Actividades en la Naturaleza, como herramienta para su conocimiento y protección.
Actividades basadas en los centros de interés infantiles y juveniles, atractivas, atrayentes y progresivas, orientadas al desarrollo y educación de sus destinatarios

Nuestras reuniones son todos los sábados en nuestro local de la calle San Isidro de 16:30 a 18:30.
Tendremos campamento de verano en el mes de agosto.
En marzo participaremos en el festival regional de la canción scout.
Realizaremos una salida todo el grupo junto en el mes de mayo.
Haremos un festival de Navidad el 7 de enero en el salón de actos del Centro de Usos Múltiples
Participaremos en todos aquellos actos a los que seamos llamados...";"2";"2013-03-04 13:32:03";"publie";"2006-05-08 13:41:21";"es";"non";;"publie";"2006-05-08 13:41:21";"1"
"14";"2";"Red Ciudadana Por la Abolición de la Deuda Externa (RCADE)";;"La Red es un movimiento social, una corriente ciudadana que fomenta la participación activa de las personas. Somos un movimiento horizontal, sin jerarquías, y en el que las bases son la parte fundamental y por eso estamos a favor del foro social de Criptana. La Consulta Social sirvió como demostración práctica de la metodología organizativa, participativa y de acción que define nuestra identidad. La Red es una red política, democrática, horizontal, plural, abierta, apartidista y aconfesional. Política desde el punto de vista de las ciudadanas y de los ciudadanos: la gente que se preocupa por los problemas, se posiciona sobre ellos y actúa para remediarlos o exigir que se remedien.

La Red trasciende el problema de la deuda externa. La deuda no es un fallo del sistema, sino un producto del mismo, por lo que para atajar el problema de la deuda se ve completamente necesario promover un cambio de estructuras. Si la deuda es abolida pero no se cambian las estructuras políticas, económicas y sociales, el problema se volverá a reproducir. El cambio de estructuras incluye el cambio personal, el cambio de nuestra vida, de nuestras motivaciones y ser coherente con ello.
Luchamos contra la pobreza e injusticia en sus orígenes, es decir, las estructuras, y no nos detenemos en sus efectos. Todo esto incluye que nuestra lucha está también aquí, en los países ricos, y en concreto, en el nuestro. La acción de la Red por la democracia participativa es parte de su esencia y es una de las formas de lucha por el cambio de estructuras.

Actualmente RCADE está trabajando en la campaña ¿Quién debe a Quién? ([->http://www.quiendebeaquien.org]) desde donde denunciamos la ilegitimidad de la deuda externa, que lejos de beneficiar a la población, ha servido para
enriquecer a las élites corruptas de los países del Sur y a los propios
prestamistas, que han recibido en concepto de intereses siete veces más
el dinero que prestaron en su momento. En lugar de considerar a los países
del Sur como deudores, planteamos que son los países del Norte los
verdaderos deudores de los países del Sur. Por todo ello, pedimos la
abolición de la deuda externa, la realización de auditorías sobre la
legitimidad de las deudas bilaterales con España y el reconocimiento de
la deuda histórica del saqueo colonial y de la reciente deuda ecológica del Norte por la contaminación del planeta que produce nuestro modelo de consumo.
";"2";"2013-03-04 13:32:03";"publie";"2008-06-19 18:20:14";"es";"non";;"publie";"2008-06-19 18:20:14";"1"
"16";"0";"Carta de un Ciudadano";;"Esta sección es un espacio abierto para que tod@s l@s ciudadan@s de Campo de Criptana nos transmitan sus inquietudes, su opinión y también, porqué no, sus críticas con respecto a problemas o temas de especial interés para el pueblo.

En una democracia es importante de disponer de espacios abiertos de libre expresión y por ello os animos a construir este espacio entre tod@s.

Podéis enviar vuestras cartas a la dirección [->forosocialcriptana@gmail.com]";"16";"2013-03-04 13:32:03";"publie";"2013-03-02 10:00:18";"es";"non";;"publie";"2013-03-02 10:00:18";"0"
"17";"0";"Enlaces";;"Enlaces a direcciones y recursos Web de interes para el Foro Social.";"17";"2013-03-04 13:32:09";"publie";"2013-03-03 23:26:13";"es";"non";;"publie";"2013-03-03 23:26:13";"0"
"18";"3";"Agenda 21 Local";;"Artículos y documentos relacionados con la implantación de la Agenda 21 Local de Campo de Criptana.

La Agenda 21 Local es un plan de acción global para conseguir un desarrollo sostenible en los municipios. 

Para más información puedes visitar la [página web de la Agenda 21 local de Campo de Criptana->http://sites.google.com/site/agenda21localcriptana/]

";"3";"2013-03-04 13:32:04";"publie";"2008-11-30 13:29:00";"es";"non";;"publie";"2008-11-30 13:29:00";"1"
"19";"0";"Mapas";;"Mapas de Campo de Criptana y sus alrededores.";"19";"2013-03-04 13:32:04";"publie";"2005-12-18 20:03:00";"es";"non";;"publie";"2005-12-18 20:03:00";"0"
"20";"12";"Boletín Salicor";;"Boletín informativo del grupo ecologista Salicor ";"2";"2013-03-04 13:32:04";"publie";"2012-10-11 15:51:57";"es";"non";;"publie";"2012-10-11 15:51:57";"2"
"21";"3";"Jornadas Sociales y de Promoción de la Participación Ciudadana";;;"3";"2018-07-03 01:05:37";"publie";"2018-07-03 01:05:37";"es";"non";;"publie";"2012-06-04 12:22:15";"1"
"22";"6";"Política";;;"6";"2012-10-05 17:08:19";"prive";"0000-00-00 00:00:00";"es";"non";;"prive";"0000-00-00 00:00:00";"1"
"23";"6";"Urbanismo";;;"6";"2013-03-04 13:32:04";"publie";"2007-11-21 19:00:33";"es";"non";;"publie";"2007-11-21 19:00:33";"1"
"24";"6";"Medio Ambiente";;;"6";"2013-03-04 13:32:04";"publie";"2009-01-04 12:23:09";"es";"non";;"publie";"2009-01-04 12:23:09";"1"
"25";"6";"Laboral";;;"6";"2012-10-05 17:08:20";"prive";"0000-00-00 00:00:00";"es";"non";;"prive";"0000-00-00 00:00:00";"1"
"26";"6";"Educación";;;"6";"2013-03-04 13:32:04";"publie";"2008-01-09 17:53:17";"es";"non";;"publie";"2008-01-09 17:53:17";"1"
"27";"6";"Cultura";;;"6";"2012-10-05 17:08:20";"prive";"0000-00-00 00:00:00";"es";"non";;"prive";"0000-00-00 00:00:00";"1"
"28";"6";"Deporte";;;"6";"2012-10-05 17:08:20";"prive";"0000-00-00 00:00:00";"es";"non";;"prive";"0000-00-00 00:00:00";"1"
"29";"6";"Festejos";;;"6";"2012-10-05 17:08:20";"prive";"0000-00-00 00:00:00";"es";"non";;"prive";"0000-00-00 00:00:00";"1"
"30";"6";"Desarrollo sostenible";;;"6";"2012-10-05 17:08:20";"prive";"0000-00-00 00:00:00";"es";"non";;"prive";"0000-00-00 00:00:00";"1"
"31";"6";"Género";;;"6";"2012-10-05 17:08:20";"prive";"0000-00-00 00:00:00";"es";"non";;"prive";"0000-00-00 00:00:00";"1"
"32";"6";"Inmigración";;;"6";"2012-10-05 17:08:20";"prive";"0000-00-00 00:00:00";"es";"non";;"prive";"0000-00-00 00:00:00";"1"
"33";"6";"Agenda 21 Local";;;"6";"2012-10-05 17:08:20";"prive";"0000-00-00 00:00:00";"es";"non";;"prive";"0000-00-00 00:00:00";"1"
"34";"3";"Día sin coches";;;"3";"2013-03-04 13:32:04";"publie";"2012-09-17 19:26:00";"es";"non";;"publie";"2012-09-17 19:26:00";"1"
"35";"0";"Observatorio de la sostenibilidad";;"Esta sección pretende ser un observatorio de alerta sobre principales problemas de carácter social, económico y ambiental de Campo de Criptana.

El objetivo es identificar los \'puntos negros\' de la sostenibilidad de Campo de Criptana, visibilizando primero los problemas, sensibilizando sobre los mismos después y por último buscando soluciones entre todas y todos.

Como identificador de la gravedad, cada problema tendrá asociado un punto de distinto color:

<img98|left> Muy grave

<img99|left> Grave

<img100|left> Moderado

<img101|left> Leve o solucionado

&nbsp;<br>

Si conoces algún problema que merezca incluir en esta sección, no dudes en escribirnos para conmunicárnoslo.
</p>

";"35";"2013-03-04 13:32:09";"publie";"2011-04-20 13:46:10";"es";"non";;"publie";"2011-04-20 13:46:10";"0"
"36";"35";"Puntos negros";;"Problemas de extrema gravedad";"35";"2013-03-04 13:32:04";"publie";"2011-04-20 13:46:10";"es";"non";;"publie";"2011-04-20 13:46:10";"1"
"37";"35";"Puntos rojos";;"Problemas graves";"35";"2013-03-04 13:32:04";"publie";"2008-05-09 13:25:43";"es";"non";;"publie";"2008-05-09 13:25:43";"1"
"38";"35";"Puntos naranjas";;"Problemas no muy graves pero preocupantes";"35";"2012-10-05 17:08:20";"prive";"0000-00-00 00:00:00";"es";"non";;"prive";"0000-00-00 00:00:00";"1"
"39";"35";"Puntos verdes";;"Problemas leves o ya resueltos";"35";"2012-10-05 17:08:20";"prive";"0000-00-00 00:00:00";"es";"non";;"prive";"0000-00-00 00:00:00";"1"
"40";"12";"Campañas";;"Campañas del grupo ecologista Salicor.";"2";"2013-03-04 13:32:09";"publie";"2011-05-06 11:03:13";"es";"non";;"publie";"2011-05-06 11:03:13";"2"
"41";"40";"Campaña de denuncia de vertidos ilegales";;"El grupo Salicor está especialmente preocupado por los vertidos descontrolados (especialmente de construcción) que están apareciendo de forma alarmante en nuestro término municipal.
Ayudanos a señalar y denunciar estos vertidos enviando fotos a la dirección 
[campodecriptana@ecologistasenaccion.org->mailto:campodecriptana@ecologistasenaccion.org] ";"2";"2013-03-04 13:32:04";"publie";"2006-10-04 12:45:00";"es";"non";;"publie";"2006-10-04 12:45:00";"3"
"42";"0";"Noticias";;"Noticias de actualidad locales y globales.";"42";"2013-03-04 13:32:04";"publie";"2012-07-02 13:12:36";"es";"non";;"publie";"2012-07-02 13:12:36";"0"
"43";"0";"Campañas";;;"43";"2016-05-21 13:14:37";"publie";"2016-05-21 13:14:37";"es";"non";;"publie";"2013-02-25 01:22:44";"0"
"44";"43";"Conflicto entre Palestina e Israel";;;"43";"2013-03-04 13:32:04";"publie";"2009-01-13 19:41:46";"es";"non";;"publie";"2009-01-13 19:41:46";"1"
"45";"12";"Notas de prensa";;"Notas de prensa emitidas por el grupo ecologista Salicor";"2";"2017-10-03 17:37:15";"publie";"2017-10-03 17:37:15";"es";"non";;"publie";"2013-02-04 15:55:19";"2"
"46";"36";"Planta de cogeneración del grupo MOVIALSA";;;"35";"2012-10-05 17:08:20";"prive";"0000-00-00 00:00:00";"es";"non";;"prive";"0000-00-00 00:00:00";"2"
"47";"2";"Encinares vivos de La Mancha";;"Asociación de carácter étnico, paisajista y ambientalista para la reforestación de las tierras manchegas con especies autóctonas. ";"2";"2017-03-14 12:55:54";"publie";"2017-03-14 12:55:54";"es";"non";;"publie";"2013-02-24 13:24:13";"1"
"48";"47";"Proyecto \'Quercus Mancha\'";;"Proyecto de reforestación de nuestro entorno.

Si estás interesado en participar como voluntario o quieres recibir más información, puedes hacerlo enviando un correo electrónico a la siguiente dirección: [->campodecriptana@ecologistasenaccion.org.]

Sólo se necesita azada, unas garrafas de agua y ganas de pasar un agradable rato en buena compañía en nuestro campo.

Los días de salida se publicarán periódicamente en el calendario de eventos de la página web del [Foro Social de Campo de Criptana->http://www.forosialcriptana.com].";"2";"2014-02-05 11:57:14";"publie";"2014-02-05 11:57:14";"es";"non";;"publie";"2012-12-14 13:26:30";"2"
"49";"3";"Día de la mujer trabajadora";;;"3";"2013-03-08 15:44:23";"publie";"2013-03-08 15:44:23";"es";"non";;"publie";"2012-03-08 17:25:05";"1"
"50";"12";"Actividades";;;"2";"2016-06-16 18:02:02";"publie";"2016-06-16 18:02:02";"es";"non";;"publie";"2013-02-08 14:32:26";"2"
"51";"0";"Foro Social TV";;;"51";"2013-03-04 13:32:04";"publie";"2010-05-01 21:10:00";"es";"non";;"publie";"2010-05-01 21:10:00";"0"
"52";"2";"Grupo autogestionado de consumo local";;;"2";"2017-05-10 20:11:34";"publie";"2017-05-10 20:11:34";"es";"non";;"publie";"2012-10-09 10:00:56";"1"
"53";"0";"Opinión";;;"53";"2016-05-05 11:48:11";"publie";"2016-05-05 11:48:11";"es";"non";;"publie";"2012-03-05 16:44:00";"0"
"54";"40";"No a la energía nuclear";;;"2";"2013-03-04 13:32:07";"publie";"2011-05-06 11:03:13";"es";"non";;"publie";"2011-05-06 11:03:13";"3"
"55";"43";"No a la guerra";;;"43";"2013-03-04 13:32:08";"publie";"2011-03-25 20:19:00";"es";"non";;"publie";"2011-03-25 20:19:00";"1"
"56";"3";"Día internacional de los trabajadore/as";;;"3";"2013-04-30 15:26:08";"publie";"2013-04-30 15:26:08";"es";"non";;"publie";"2012-04-26 20:42:25";"1"
"57";"43";"¡Democracia Real Ya!";;;"43";"2013-03-04 13:32:09";"publie";"2011-11-25 19:03:04";"es";"non";;"publie";"2011-11-25 19:03:04";"1"
"58";"2";"Proyecto Korova";;"Korova es un proyecto de centro sociocultural autogestionado en Campo de Criptana.";"2";"2016-04-05 14:53:03";"publie";"2016-04-05 14:53:03";"es";"non";;"publie";"2012-06-24 02:15:54";"1"
"59";"43";"Campaña contra el Cementerio Nuclear";;"Campaña contra la construcción del Almacen Temporal Centralizado de residuos nucleares en Villar de Cañas (Cuenca).
";"43";"2015-04-13 10:22:42";"publie";"2015-04-13 10:22:42";"es";"non";;"publie";"2012-10-18 10:03:44";"1"
"60";"43";"Campaña en defensa de los Servicios Públicos";;"Ante los brutales recortes en Educación, Sanidad y en general en las prestaciones sociales, que amenazan con desmantelar el estado del bienestar, llamamos a la población a movilizarse en defensa de nuestros derechos.
La crisis que la paguen los ricos que son los que la han provocado.";"43";"2013-03-04 13:32:09";"publie";"2012-11-30 11:44:08";"es";"non";;"publie";"2012-11-30 11:44:08";"1"
"61";"43";"Desmontando Mentiras";;"Campaña para desmontar las mentiras del sistema que los poderes financieros, políticos y los medios de comunicación nos quieren hacer creer. ";"43";"2013-03-04 13:32:09";"publie";"2012-06-06 14:14:55";"es";"non";;"publie";"2012-06-06 14:14:55";"1"
"62";"43";"Antiguas";;"Campañas antiguas. ";"43";"2012-10-19 11:59:57";"prive";"0000-00-00 00:00:00";"es";"non";NULL;"prive";"0000-00-00 00:00:00";"1"
"63";"0";"Presupuestos municipales";;"Bienvenido al observatorio de los presupuestos municipales 

En los siguientes enlaces encontrarás información sobre los presupuestos municipales de Campo de Criptana desde el año 2010 en adelante. 

<h3>{{[Ingresos->http://public.tableausoftware.com/views/ingresos_0/Ingresosporcaptuloyao?:embed=y&:display_count=no]}}</h3>

<h3>{{[Gastos->http://public.tableausoftware.com/profile/foro.social.de.campo.de.criptana#!/vizhome/PresupuestosMunicipalesdeCampodeCriptanaGastos/Gatosporprogramayao]}}</h3>

Para entender qué son los presupuestos de un municipio y cómo se estructuran, puedes consultar la siguiente presentación: 
<iframe src=\'https://docs.google.com/presentation/d/1oysDrJvlFxP0sKlzBalxvrV3lzSE5OCSKY7qd5yYpcA/embed?start=false&loop=false&delayms=3000\' frameborder=\'0\' width=\'480\' height=\'299\' allowfullscreen=\'true\' mozallowfullscreen=\'true\' webkitallowfullscreen=\'true\'></iframe>";"63";"2016-01-19 13:51:02";"publie";"2016-01-19 13:51:02";"es";"non";NULL;"publie";"2013-02-12 11:22:20";"0"
"66";"43";"Paremos los desahucios";;;"43";"2013-03-04 13:32:09";"publie";"2013-02-25 01:22:44";"es";"non";NULL;"publie";"2013-02-25 01:22:44";"1"
"69";"45";"Prueba";;"Esto es una prueba";"2";"2013-03-04 13:32:09";"prive";"0000-00-00 00:00:00";"es";"non";NULL;"prive";"0000-00-00 00:00:00";"3"
"72";"0";"Directorios web";;;"72";"2013-03-08 15:39:34";"0";"2013-03-05 23:54:49";"es";"non";NULL;"prive";"0000-00-00 00:00:00";"0"
"73";"50";"Día internacional de los bosques";;"El 21 de marzo ha sido elegido por la Asamblea General de las Naciones Unidas como el Día Internacional de los Bosques.";"2";"2013-03-14 19:35:34";"publie";"2013-03-14 19:35:34";"es";"non";NULL;"0";"0000-00-00 00:00:00";"3"
"74";"2";"Plataforma de Afectados por las Hipotecas";;"Hemos habilitado una carpeta con documentación sobre los procedimientos jurídicos más habituales para parar los desahucios. 
Para cualquier duda puedes ponerte en contacto con nosotros a través del correo [->forosocialcriptana@gmail.com] o bien con Jorge, el abogado de la PAH en Ciudad Real, llamando al teléfono 607851906.  

";"2";"2013-06-07 14:35:56";"publie";"2013-06-07 14:35:56";"es";"non";NULL;"0";"0000-00-00 00:00:00";"1"
"75";"2";"Asamblea de Castilla-La Mancha por el reparto de la riqueza y la renta básica de las iguales";;"<emb633|center>";"2";"2013-11-27 20:41:46";"publie";"2013-11-27 20:41:46";"es";"non";NULL;"0";"0000-00-00 00:00:00";"1"
"76";"43";"No a la privatización del agua";;"El agua es un derecho humano que es de todo/as
¡No a la mercantilización del agua!

<emb638|center>";"43";"2014-03-20 11:14:10";"publie";"2014-03-20 11:14:10";"es";"non";NULL;"0";"0000-00-00 00:00:00";"1"
